FUCA1 ENSG00000179163
SLC44A4 ENSG00000204385
DHRS7 ENSG00000100612
FXYD3 ENSG00000089356
B2M ENSG00000166710
TPM2 ENSG00000198467
CD81 ENSG00000110651
EEF1A1 ENSG00000156508
ACTG2 ENSG00000163017
CKB ENSG00000166165
SERF2 ENSG00000140264
PFN1 ENSG00000108518
CD63 ENSG00000135404
CALR ENSG00000179218
NDRG1 ENSG00000104419
P4HB ENSG00000185624
HLA-C ENSG00000204525
SLC45A3 ENSG00000158715
PPDPF ENSG00000125534
ACTG1 ENSG00000184009
PSAP ENSG00000197746
FOSB ENSG00000125740
RACK1 ENSG00000204628
CST3 ENSG00000101439
NR4A1 ENSG00000123358
MYL9 ENSG00000101335
KLK4 ENSG00000167749
UBC ENSG00000150991
FTH1 ENSG00000167996
MYH11 ENSG00000133392
TAGLN ENSG00000149591
FLNA ENSG00000196924
SPINK1 ENSG00000164266
ACPP ENSG00000014257
TFF3 ENSG00000160180
AZGP1 ENSG00000160862
SPON2 ENSG00000159674
KLK2 ENSG00000167751
ACTB ENSG00000075624
MSMB ENSG00000263639
KLK3 ENSG00000142515
